ZIP_Code,Median_income,Population,TeslaCount,NonTeslaCount,Total_EVs,Tesla_Proportion_of_Evs,EV_per_1k_people
56029,61094,664,0,3,3,0,4.52
56031,61373,12117,16,15,31,0.516,2.56
56033,82188,336,1,4,5,0.2,14.88
56034,83068,609,0,2,2,0,3.28
56035,63750,515,0,1,1,0,1.94
56036,70862,1774,0,7,7,0,3.95
56037,74167,1589,0,5,5,0,3.15
56039,80536,990,0,1,1,0,1.01
56041,79107,1075,0,1,1,0,0.93
56042,80500,669,1,1,2,0.5,2.99
56043,93333,449,0,1,1,0,2.23
56044,92917,2135,4,6,10,0.4,4.68
56048,82813,4150,3,15,18,0.167,4.34
56050,85000,1531,3,5,8,0.375,5.23
56051,50909,640,1,5,6,0.167,9.38
56052,89688,746,1,5,6,0.167,8.04
56054,97344,888,0,5,5,0,5.63
56055,83452,3916,7,17,24,0.292,6.13
56057,81895,3949,1,16,17,0.059,4.3
56058,82500,6066,9,18,27,0.333,4.45
56062,76549,3239,2,3,5,0.4,1.54
56063,100156,2945,9,27,36,0.25,12.22
56065,91587,2698,0,4,4,0,1.48
56068,68988,1031,0,2,2,0,1.94
56069,81919,4837,8,20,28,0.286,5.79
56071,109672,12913,24,83,107,0.224,8.29
56072,77917,2401,0,4,4,0,1.67
56073,69698,17275,10,59,69,0.145,3.99
56074,91397,1965,3,5,8,0.375,4.07
56080,100750,727,0,2,2,0,2.75
56081,66612,6139,3,15,18,0.167,2.93
56082,72332,14507,17,72,89,0.191,6.13
56083,65000,797,1,0,1,1,1.25
56085,70429,5087,3,14,17,0.176,3.34
56087,64566,3026,2,2,4,0.5,1.32
56088,70568,1881,0,1,1,0,0.53
56091,57500,343,1,0,1,1,2.92
56093,73210,12469,8,39,47,0.17,3.77
56096,79879,2909,2,12,14,0.143,4.81
56097,63646,3613,5,13,18,0.278,4.98
56098,69000,2073,3,5,8,0.375,3.86
56101,71354,6008,1,11,12,0.083,2
56110,77625,1803,2,4,6,0.333,3.33
56111,91563,399,1,1,2,0.5,5.01
56116,85000,592,0,3,3,0,5.07
56117,80547,348,0,1,1,0,2.87
56118,89076,416,0,2,2,0,4.81
56119,80766,1001,1,1,2,0.5,2
56120,72708,1088,0,2,2,0,1.84
56128,71806,2076,0,6,6,0,2.89
56134,56250,411,0,2,2,0,4.87
56136,59271,1222,0,3,3,0,2.45
56137,68500,1051,1,0,1,1,0.95
56138,68889,919,1,0,1,1,1.09
56139,75417,408,0,1,1,0,2.45
56142,65987,950,0,1,1,0,1.05
56143,64865,4545,5,10,15,0.333,3.3
56144,53077,1223,0,1,1,0,0.82
56145,51607,562,0,1,1,0,1.78
56147,42188,187,0,1,1,0,5.35
56149,61389,1261,0,2,2,0,1.59
56150,69224,2715,0,1,1,0,0.37
56151,78571,745,0,2,2,0,2.68
56152,73542,1402,0,2,2,0,1.43
56153,57813,213,0,1,1,0,4.69
56155,59375,397,0,1,1,0,2.52
56156,75234,6270,3,17,20,0.15,3.19
56157,87708,729,1,0,1,1,1.37
56159,65089,2777,6,7,13,0.462,4.68
56162,83125,221,0,1,1,0,4.52
56164,71550,5678,3,9,12,0.25,2.11
56165,100179,328,0,2,2,0,6.1
56167,68611,619,1,1,2,0.5,3.23
56168,65417,876,0,1,1,0,1.14
56170,54821,549,0,1,1,0,1.82
56171,74750,1676,2,2,4,0.5,2.39
56172,79583,2954,2,8,10,0.2,3.39
56173,57083,368,0,1,1,0,2.72
56174,81563,391,0,2,2,0,5.12
56175,66506,2915,0,2,2,0,0.69
56176,67727,1092,0,3,3,0,2.75
56178,81667,1651,1,5,6,0.167,3.63
56181,59821,1144,0,3,3,0,2.62
56183,49779,1197,0,1,1,0,0.84
56185,59792,551,0,2,2,0,3.63
56187,63637,15312,5,20,25,0.2,1.63
56201,68054,24575,33,76,109,0.303,4.44
56208,56196,2029,2,1,3,0.667,1.48
56209,83661,2333,0,9,9,0,3.86
56211,80536,505,0,1,1,0,1.98
56215,58198,4765,0,10,10,0,2.1
56216,73088,628,1,1,2,0.5,3.18
56220,60185,2851,0,2,2,0,0.7
56221,56875,752,0,1,1,0,1.33
56222,61389,2099,0,3,3,0,1.43
56223,65250,1328,1,5,6,0.167,4.52
56225,68750,805,0,2,2,0,2.48
56227,96250,178,2,1,3,0.667,16.85
56229,99821,1754,0,4,4,0,2.28
56230,65000,794,1,2,3,0.333,3.78
56232,77132,2328,1,3,4,0.25,1.72
56235,80521,505,0,1,1,0,1.98
56236,77344,299,1,0,1,1,3.34
56240,66250,954,0,3,3,0,3.14
56241,66354,3903,2,2,4,0.5,1.02
56243,65625,1690,2,1,3,0.667,1.78
56244,82841,1737,1,2,3,0.333,1.73
56245,82679,455,0,2,2,0,4.4
56251,75938,1063,1,5,6,0.167,5.64
56252,80508,1313,0,7,7,0,5.33
56253,73984,932,0,1,1,0,1.07
56255,70500,414,0,3,3,0,7.25
56256,62250,2433,0,3,3,0,1.23
56258,70640,15480,10,39,49,0.204,3.17
56260,72813,868,1,2,3,0.333,3.46
56264,75227,2113,0,1,1,0,0.47
56265,72564,7634,5,10,15,0.333,1.96
56266,70000,1510,0,2,2,0,1.32
56267,70000,6647,5,27,32,0.156,4.81
56270,64286,1197,1,6,7,0.143,5.85
56271,70395,1292,1,5,6,0.167,4.64
56273,91520,4969,10,16,26,0.385,5.23
56276,68125,241,0,1,1,0,4.15
56277,69265,2950,4,6,10,0.4,3.39
56278,60192,2733,0,3,3,0,1.1
56279,78750,1233,1,1,2,0.5,1.62
56280,74167,441,0,2,2,0,4.54
56281,105121,649,1,0,1,1,1.54
56282,71103,1597,0,3,3,0,1.88
56283,66548,6412,0,15,15,0,2.34
56284,75417,2054,0,1,1,0,0.49
56288,105000,4623,14,32,46,0.304,9.95
56291,58750,452,1,0,1,1,2.21
56292,80156,542,0,1,1,0,1.85
56293,67788,1257,0,3,3,0,2.39
56297,80250,808,0,1,1,0,1.24
56301,69725,33786,48,158,206,0.233,6.1
56302,,,1,2,3,0.333,NULL
56303,66789,27305,42,113,155,0.271,5.68
